2013-11-27 01:33:42,271 [DEBUG] django.db.backends: (0.025) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:33:42.227044 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:33:42.227044')
2013-11-27 01:34:54,145 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = YzVhYzhmMTIwYTE0Zjg4NDAzMDdiZWIyNDg5OWIzOTNmNGJmZDgwYzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19, "expire_date" = 2013-12-11 09:34:54.142779 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'YzVhYzhmMTIwYTE0Zjg4NDAzMDdiZWIyNDg5OWIzOTNmNGJmZDgwYzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19', u'2013-12-11 09:34:54.142779', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:34:55,869 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:34:55.867977 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:34:55.867977')
2013-11-27 01:34:55,875 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:34:55,876 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19, "expire_date" = 2013-12-11 09:34:55.874679 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19', u'2013-12-11 09:34:55.874679', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:39:02,355 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:39:02.354176 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:39:02.354176')
2013-11-27 01:39:02,386 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:39:02,388 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19, "expire_date" = 2013-12-11 09:39:02.384668 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'OWJkZGQ1ZWJiMjNjZjg5MWE5ODVlMzE4MmVhZTNlMDZhMTdiNTBkNzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjAiOnt9fSwic3RlcCI6IjEiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7IjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19', u'2013-12-11 09:39:02.384668', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:45:44,602 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:45:44.600748 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:45:44.600748')
2013-11-27 01:45:44,608 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:45:44,609 [DEBUG] django.db.backends: (0.000) UPDATE "django_session" SET "session_data" = MDY0YzIwOGIwOTg0MGY5ODMwZmJhNzMwYzkxZDljYTExOGFlZDRhYjp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjEiOnt9LCIwIjp7fX0sInN0ZXAiOiIyIiwiZXh0cmFfZGF0YSI6e30sInN0ZXBfZGF0YSI6eyIxIjp7ImNvbnRhY3Rfd2l6YXJkLWN1cnJlbnRfc3RlcCI6WyIxIl0sImNzcmZtaWRkbGV3YXJldG9rZW4iOlsiYlh4eDdmUkJBeEZsYVFacVdyc2Y0M0tiNk5YOWNtM28iXSwiMS1zZW5kZXIiOlsibWlrZUBtZS5jb20iXX0sIjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19, "expire_date" = 2013-12-11 09:45:44.607899 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'MDY0YzIwOGIwOTg0MGY5ODMwZmJhNzMwYzkxZDljYTExOGFlZDRhYjp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7IjEiOnt9LCIwIjp7fX0sInN0ZXAiOiIyIiwiZXh0cmFfZGF0YSI6e30sInN0ZXBfZGF0YSI6eyIxIjp7ImNvbnRhY3Rfd2l6YXJkLWN1cnJlbnRfc3RlcCI6WyIxIl0sImNzcmZtaWRkbGV3YXJldG9rZW4iOlsiYlh4eDdmUkJBeEZsYVFacVdyc2Y0M0tiNk5YOWNtM28iXSwiMS1zZW5kZXIiOlsibWlrZUBtZS5jb20iXX0sIjAiOnsiY29udGFjdF93aXphcmQtY3VycmVudF9zdGVwIjpbIjAiXSwiY3NyZm1pZGRsZXdhcmV0b2tlbiI6WyJiWHh4N2ZSQkF4RmxhUVpxV3JzZjQzS2I2Tlg5Y20zbyJdLCIwLXN1YmplY3QiOlsiY2hlZXNlIl19fX19', u'2013-12-11 09:45:44.607899', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-11-27 01:45:58,687 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:45:58.685359 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:45:58.685359')
2013-11-27 01:45:58,688 [DEBUG] yt_tut.views: cheese
2013-11-27 01:45:58,688 [DEBUG] yt_tut.views: mike@me.com
2013-11-27 01:45:58,688 [DEBUG] yt_tut.views: This is a test of the form wizard fun system.
2013-11-27 01:53:03,267 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:53:03.249087 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:53:03.249087')
2013-11-27 01:53:03,268 [DEBUG] yt_tut.views: cheese
2013-11-27 01:53:03,269 [DEBUG] yt_tut.views: mike@me.com
2013-11-27 01:53:03,269 [DEBUG] yt_tut.views: This is a test of the form wizard fun system.
2013-11-27 01:53:31,635 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:53:31.617499 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:53:31.617499')
2013-11-27 01:53:31,637 [DEBUG] yt_tut.views: cheese
2013-11-27 01:53:31,637 [DEBUG] yt_tut.views: mike@me.com
2013-11-27 01:53:31,637 [DEBUG] yt_tut.views: This is a test of the form wizard fun system.
2013-11-27 01:56:13,397 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-11-27 09:56:13.395558 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-11-27 09:56:13.395558')
2013-11-27 01:56:13,413 [DEBUG] yt_tut.views: cheese
2013-11-27 01:56:13,413 [DEBUG] yt_tut.views: mike@me.com
2013-11-27 01:56:13,413 [DEBUG] yt_tut.views: This is a test of the form wizard fun system.
2013-11-27 01:56:13,417 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-11-27 01:56:13,418 [DEBUG] django.db.backends: (0.001) UPDATE "django_session" SET "session_data" = YzY2YTMwZjZhODYxNjRlODgwZmYzZTZhODlmMzgwMGEzYTg4ZWYzYzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6bnVsbCwiZXh0cmFfZGF0YSI6e30sInN0ZXBfZGF0YSI6e319fQ==, "expire_date" = 2013-12-11 09:56:13.416332 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'YzY2YTMwZjZhODYxNjRlODgwZmYzZTZhODlmMzgwMGEzYTg4ZWYzYzp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6bnVsbCwiZXh0cmFfZGF0YSI6e30sInN0ZXBfZGF0YSI6e319fQ==', u'2013-12-11 09:56:13.416332', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-12-01 23:29:45,402 [DEBUG] django.db.backends: (0.010) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 07:29:45.357546 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 07:29:45.357546')
2013-12-01 23:29:45,558 [DEBUG] django.db.backends: (0.007) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-01 23:29:45,560 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-01 23:29:45,561 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-01 23:29:45,564 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-01 23:29:45,566 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-01 23:30:39,953 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 07:30:39.931033 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 07:30:39.931033')
2013-12-01 23:30:39,983 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-01 23:30:39,984 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-01 23:30:41,934 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 3 ; args=(3,)
2013-12-01 23:30:41,962 [DEBUG] django.db.backends: (0.011) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 3 ; args=(3,)
2013-12-01 23:30:43,094 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 07:30:43.092768 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 07:30:43.092768')
2013-12-01 23:30:43,098 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-01 23:30:43,098 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-01 23:37:20,398 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 07:37:20.360518 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 07:37:20.360518')
2013-12-01 23:37:20,496 [DEBUG] django.db.backends: (0.014) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-01 23:37:20,497 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-01 23:37:27,587 [DEBUG] django.db.backends: (0.001) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" WHERE "article_article"."id" = 2 ; args=(2,)
2013-12-01 23:37:27,608 [DEBUG] django.db.backends: (0.015) SELECT "article_comment"."id", "article_comment"."name", "article_comment"."body", "article_comment"."pub_date", "article_comment"."article_id" FROM "article_comment" WHERE "article_comment"."article_id" = 2 ; args=(2,)
2013-12-01 23:37:34,803 [DEBUG] django.db.backends: (0.001) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 07:37:34.801757 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 07:37:34.801757')
2013-12-01 23:37:34,808 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM "article_article"; args=()
2013-12-01 23:37:34,809 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article"; args=()
2013-12-02 00:19:55,878 [DEBUG] django.db.backends: (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  AND "django_session"."expire_date" > 2013-12-02 08:19:55.842740 ); args=('wei9icxu3b5joif5497u6w19f7fowqri', u'2013-12-02 08:19:55.842740')
2013-12-02 00:19:55,915 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "django_session" WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri  LIMIT 1; args=('wei9icxu3b5joif5497u6w19f7fowqri',)
2013-12-02 00:19:55,917 [DEBUG] django.db.backends: (0.001) UPDATE "django_session" SET "session_data" = ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19, "expire_date" = 2013-12-16 08:19:55.913933 WHERE "django_session"."session_key" = wei9icxu3b5joif5497u6w19f7fowqri ; args=(u'ZmEwYmE4ZTljY2E1YTVlMDAxMWU0YTE3NThhZTk0NjZlNzhlZTQwMTp7IndpemFyZF9jb250YWN0X3dpemFyZCI6eyJzdGVwX2ZpbGVzIjp7fSwic3RlcCI6IjAiLCJleHRyYV9kYXRhIjp7fSwic3RlcF9kYXRhIjp7fX19', u'2013-12-16 08:19:55.913933', 'wei9icxu3b5joif5497u6w19f7fowqri')
2013-12-02 00:24:24,505 [DEBUG] django.db.backends: (0.017) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-02 00:24:26,104 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-02 00:24:45,424 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 1; args=()
2013-12-18 23:10:00,764 [DEBUG] django.db.backends: (0.016) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 21; args=()
2013-12-18 23:10:20,019 [DEBUG] django.db.backends: (0.000) SELECT "article_article"."id", "article_article"."title", "article_article"."body", "article_article"."pub_date", "article_article"."likes", "article_article"."thumbnail" FROM "article_article" LIMIT 1 OFFSET 4; args=()
2013-12-18 23:11:59,791 [DEBUG] django.db.backends: (0.000) SELECT (1) AS "a" FROM "article_article" WHERE "article_article"."id" = 5  LIMIT 1; args=(5,)
